epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8439,0.2393,1.1227,0.99661,0.95985,0.48611,0.50389,0.48394,0.29156,0.83415,0.41439,0.000551781,0.000551781,0.000551781
2,40.5011,0.16593,0.58261,0.9393,0.97549,0.49736,0.50352,0.49384,0.3604,0.65659,0.52805,0.00105263,0.00105263,0.00105263
3,57.6206,0.16311,0.46813,0.92747,0.463,0.97222,0.49995,0.49664,0.26664,0.60134,0.47136,0.00149847,0.00149847,0.00149847
